restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad,item_id,protein_per_100cal,fat_per_100cal,carb_per_100cal,sodium_load_pct,health_score,healthy_trap,meal_category,calorie_band
Mcdonalds,Artisan Grilled Chicken Sandwich,380,60,7,2.0,0.0,95,1110,44,3.0,11,37.0,4.0,20.0,20.0,Other,1,9.74,1.84,11.58,48.26,61.23,0,Main,Medium (300-600)
Mcdonalds,Single Bacon Smokehouse Burger,840,410,45,17.0,1.5,130,1580,62,2.0,18,46.0,6.0,20.0,20.0,Other,2,5.48,5.36,7.38,68.7,43.27,0,Main,High (600-900)
Mcdonalds,Double Bacon Smokehouse Burger,1130,600,67,27.0,3.0,220,1920,63,3.0,18,70.0,10.0,20.0,50.0,Other,3,6.19,5.93,5.58,83.48,34.77,0,Main,Very High (900+)
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280,31,10.0,0.5,155,1940,62,2.0,18,55.0,6.0,25.0,20.0,Other,4,7.33,4.13,8.27,84.35,47.66,0,Main,High (600-900)
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410,45,12.0,0.5,120,1980,81,4.0,18,46.0,6.0,20.0,20.0,Other,5,5.0,4.89,8.8,86.09,43.61,0,Main,Very High (900+)
Mcdonalds,Big Mac,540,250,28,10.0,1.0,80,950,46,3.0,9,25.0,10.0,2.0,15.0,Other,6,4.63,5.19,8.52,41.3,51.47,0,Other,Medium (300-600)
Mcdonalds,Cheeseburger,300,100,12,5.0,0.5,40,680,33,2.0,7,15.0,10.0,2.0,10.0,Other,7,5.0,4.0,11.0,29.57,57.13,0,Main,Low (<300)
Mcdonalds,Classic Chicken Sandwich,510,210,24,4.0,0.0,65,1040,49,3.0,6,25.0,0.0,4.0,2.0,Other,8,4.9,4.71,9.61,45.22,55.33,0,Main,Medium (300-600)
Mcdonalds,Double Cheeseburger,430,190,21,11.0,1.0,85,1040,35,2.0,7,25.0,20.0,4.0,15.0,Other,9,5.81,4.88,8.14,45.22,51.38,0,Main,Medium (300-600)
Mcdonalds,Double Quarter Pounder® with Cheese,770,400,45,21.0,2.5,175,1290,42,3.0,10,51.0,20.0,6.0,20.0,Other,10,6.62,5.84,5.45,56.09,43.58,0,Other,High (600-900)
Mcdonalds,Filet-O-Fish®,380,170,18,4.0,0.0,40,640,38,2.0,5,15.0,2.0,0.0,15.0,Other,11,3.95,4.74,10.0,27.83,57.01,0,Other,Medium (300-600)
Mcdonalds,Garlic White Cheddar Burger,620,300,34,13.0,1.5,95,790,48,3.0,11,32.0,10.0,10.0,35.0,Other,12,5.16,5.48,7.74,34.35,50.98,0,Main,High (600-900)
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180,20,7.0,0.0,125,1150,48,3.0,11,42.0,10.0,20.0,35.0,Other,13,7.92,3.77,9.06,50.0,55.61,0,Main,Medium (300-600)
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300,34,9.0,0.0,85,1190,67,5.0,11,33.0,10.0,15.0,35.0,Other,14,4.71,4.86,9.57,51.74,50.65,0,Main,High (600-900)
Mcdonalds,Hamburger,250,70,8,3.0,0.0,30,480,31,2.0,6,13.0,2.0,2.0,4.0,Other,15,5.2,3.2,12.4,20.87,60.05,0,Main,Low (<300)
Mcdonalds,Lobster Roll,290,50,5,1.5,0.0,65,630,35,2.0,3,24.0,4.0,6.0,15.0,Other,16,8.28,1.72,12.07,27.39,63.26,0,Other,Low (<300)
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330,36,14.0,1.5,110,1260,40,3.0,10,37.0,6.0,15.0,15.0,Other,17,5.78,5.62,6.25,54.78,47.8,0,Main,High (600-900)
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190,21,8.0,0.0,135,1890,50,3.0,14,48.0,4.0,30.0,30.0,Other,18,8.28,3.62,8.62,82.17,50.37,0,Main,Medium (300-600)
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310,35,9.0,0.5,95,1780,69,5.0,14,39.0,4.0,20.0,290.0,Other,19,5.27,4.73,9.32,77.39,47.31,0,Main,High (600-900)
Mcdonalds,McChicken,350,130,15,3.5,0.0,40,600,40,2.0,5,15.0,2.0,2.0,4.0,Other,20,4.29,4.29,11.43,26.09,57.98,0,Other,Medium (300-600)
Mcdonalds,McDouble,380,160,18,8.0,1.0,70,840,34,2.0,7,23.0,10.0,2.0,10.0,Other,21,6.05,4.74,8.95,36.52,55.05,0,Other,Medium (300-600)
Mcdonalds,McRib,480,200,22,7.0,0.0,80,870,45,2.0,12,25.0,2.0,2.0,6.0,Other,22,5.21,4.58,9.38,37.83,54.68,0,Other,Medium (300-600)
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300,33,12.0,1.5,95,920,41,4.0,7,29.0,8.0,15.0,15.0,Other,23,5.0,5.69,7.07,40.0,50.65,0,Main,Medium (300-600)
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160,18,6.0,0.0,115,1540,50,4.0,12,40.0,8.0,25.0,30.0,Other,24,7.69,3.46,9.62,66.96,53.48,0,Main,Medium (300-600)
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280,32,7.0,0.0,80,1430,69,6.0,12,31.0,8.0,15.0,30.0,Other,25,4.56,4.71,10.15,62.17,50.3,0,Main,High (600-900)
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,23,5.0,0.0,60,1050,64,4.0,11,28.0,4.0,10.0,20.0,Other,26,4.91,4.04,11.23,45.65,54.58,0,Main,Medium (300-600)
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200,22,4.0,0.0,45,1000,59,3.0,13,25.0,6.0,10.0,20.0,Other,27,4.72,4.15,11.13,43.48,55.41,0,Main,Medium (300-600)
Mcdonalds,Quarter Pounder® with Cheese,530,240,27,13.0,1.5,100,1090,41,3.0,10,31.0,20.0,6.0,15.0,Other,28,5.85,5.09,7.74,47.39,49.7,0,Other,Medium (300-600)
Mcdonalds,Signature Sriracha Burger,670,320,35,12.0,1.5,95,1010,56,4.0,13,32.0,20.0,15.0,30.0,Other,29,4.78,5.22,8.36,43.91,49.83,0,Main,High (600-900)
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,180,20,5.0,0.0,115,1550,56,4.0,14,41.0,20.0,25.0,30.0,Other,30,7.32,3.57,10.0,67.39,53.73,0,Main,Medium (300-600)
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,300,33,7.0,0.0,80,1430,75,5.0,13,32.0,20.0,20.0,30.0,Other,31,4.38,4.52,10.27,62.17,50.12,0,Main,High (600-900)
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,340,37,14.0,1.5,110,1310,51,3.0,14,38.0,6.0,15.0,15.0,Other,32,5.51,5.36,7.39,56.96,47.19,0,Main,High (600-900)
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,200,22,7.0,0.0,135,1930,61,4.0,18,48.0,4.0,30.0,25.0,Other,33,7.62,3.49,9.68,83.91,50.12,0,Main,High (600-900)
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,320,36,9.0,0.5,95,1820,80,5.0,18,39.0,4.0,20.0,30.0,Other,34,4.88,4.5,10.0,79.13,46.65,0,Main,High (600-900)
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,190,21,3.5,0.0,70,910,16,0.0,0,28.0,0.0,0.0,2.0,Other,35,7.57,5.68,4.32,39.57,59.28,0,Dessert/Drink,Medium (300-600)
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,250,28,4.5,0.0,95,1290,21,0.0,1,38.0,0.0,0.0,2.0,Other,36,7.92,5.83,4.38,56.09,56.42,0,Dessert/Drink,Medium (300-600)
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,390,44,8.0,0.5,145,1890,32,1.0,1,58.0,0.0,0.0,2.0,Other,37,7.63,5.79,4.21,82.17,49.7,0,Dessert/Drink,High (600-900)
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,630,70,12.0,1.0,240,3230,52,1.0,4,94.0,0.0,0.0,4.0,Other,38,7.77,5.79,4.3,140.43,38.16,0,Dessert/Drink,Very High (900+)
Mcdonalds,4 Piece Chicken McNuggets,180,100,11,2.0,0.0,30,340,11,1.0,0,10.0,0.0,2.0,0.0,Other,39,5.56,6.11,6.11,14.78,62.05,0,Side,Low (<300)
Mcdonalds,6 Piece Chicken McNuggets,270,140,16,2.5,0.0,45,510,16,1.0,0,15.0,0.0,2.0,0.0,Other,40,5.56,5.93,5.93,22.17,60.57,0,Side,Low (<300)
Mcdonalds,10 Piece Chicken McNuggets,440,240,27,4.5,0.0,75,840,26,2.0,0,24.0,0.0,4.0,2.0,Other,41,5.45,6.14,5.91,36.52,56.88,0,Side,Medium (300-600)
Mcdonalds,20 Piece Chicken McNuggets,890,480,53,9.0,0.0,145,1680,53,4.0,0,49.0,0.0,8.0,4.0,Other,42,5.51,5.96,5.96,73.04,48.22,0,Side,High (600-900)
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,240,27,4.0,0.0,105,1780,63,2.0,35,39.0,4.0,15.0,4.0,Other,43,6.09,4.22,9.84,77.39,51.64,0,Dessert/Drink,High (600-900)
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,360,40,6.0,0.0,160,2670,94,3.0,52,58.0,4.0,25.0,8.0,Other,44,6.04,4.17,9.79,116.09,44.29,0,Dessert/Drink,Very High (900+)
Mcdonalds,Premium Asian Salad w/o Chicken,140,70,7,0.5,0.0,0,20,13,5.0,7,7.0,180.0,45.0,10.0,Other,45,5.0,5.0,9.29,0.87,64.65,0,Salad/Bowl,Low (<300)
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,80,9,1.0,0.0,80,740,18,5.0,10,31.0,180.0,70.0,10.0,Other,46,11.48,3.33,6.67,32.17,66.17,0,Salad/Bowl,Low (<300)
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,250,28,8.0,0.0,95,1120,28,4.0,4,33.0,180.0,60.0,15.0,Other,47,6.73,5.71,5.71,48.7,53.89,0,Salad/Bowl,Medium (300-600)
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,110,12,5.0,0.0,40,660,9,3.0,3,14.0,180.0,50.0,15.0,Other,48,7.37,6.32,4.74,28.7,59.69,0,Salad/Bowl,Low (<300)
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,120,14,6.0,0.0,45,1230,9,3.0,4,42.0,180.0,60.0,15.0,Other,49,13.12,4.38,2.81,53.48,61.11,0,Salad/Bowl,Medium (300-600)
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,250,28,8.0,0.0,95,1120,28,4.0,4,33.0,180.0,60.0,15.0,Other,50,6.73,5.71,5.71,48.7,53.89,0,Salad/Bowl,Medium (300-600)
Mcdonalds,Premium Southwest Salad w/o Chicken,220,90,10,3.5,0.0,15,500,26,6.0,9,8.0,180.0,40.0,20.0,Other,51,3.64,4.55,11.82,21.74,57.97,0,Salad/Bowl,Low (<300)
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,100,12,4.5,0.0,110,1070,27,6.0,9,37.0,180.0,50.0,20.0,Other,52,10.57,3.43,7.71,46.52,60.6,0,Salad/Bowl,Medium (300-600)
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,230,25,6.0,0.0,75,960,46,8.0,9,28.0,180.0,40.0,20.0,Other,53,5.38,4.81,8.85,41.74,54.96,0,Salad/Bowl,Medium (300-600)
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,144,16,8.0,0.0,85,1120,37,3.0,7,37.0,30.0,40.0,25.0,Other,54,8.6,3.72,8.6,48.7,55.8,0,Main,Medium (300-600)
Chick Fil-A,Chargrilled Chicken Sandwich,310,54,6,2.0,0.0,55,820,36,3.0,7,29.0,25.0,40.0,10.0,Other,55,9.35,1.94,11.61,35.65,62.75,0,Main,Medium (300-600)
Chick Fil-A,Chick-n-Slider,270,99,11,2.5,0.0,45,800,26,1.0,4,16.0,,0.0,2.0,Other,56,5.93,4.07,9.63,34.78,59.03,0,Other,Low (<300)
Chick Fil-A,1 Piece Chick-n-Strips,120,54,6,3.0,0.0,25,320,6,0.0,1,11.0,0.0,0.0,2.0,Other,57,9.17,5.0,5.0,13.91,65.19,0,Dessert/Drink,Low (<300)
Chick Fil-A,2 Piece Chick-n-Strips,230,108,12,3.0,0.0,55,630,13,1.0,1,22.0,0.0,2.0,4.0,Other,58,9.57,5.22,5.65,27.39,63.54,0,Dessert/Drink,Low (<300)
Chick Fil-A,3 Piece Chick-n-Strips,350,153,17,3.0,0.0,70,940,22,1.0,3,28.0,2.0,2.0,6.0,Other,59,8.0,4.86,6.29,40.87,59.87,0,Dessert/Drink,Medium (300-600)
Chick Fil-A,4 piece Chick-n-Strips,470,207,23,3.0,0.0,90,1250,29,1.0,4,37.0,2.0,4.0,8.0,Other,60,7.87,4.89,6.17,54.35,57.68,0,Dessert/Drink,Medium (300-600)
Chick Fil-A,Chicken Deluxe,500,207,23,7.0,0.0,75,1590,42,3.0,6,31.0,30.0,10.0,20.0,Other,61,6.2,4.6,8.4,69.13,50.92,0,Other,Medium (300-600)
Chick Fil-A,4 piece Chicken Nuggets,130,54,6,1.5,0.0,40,490,5,1.0,0,14.0,0.0,2.0,2.0,Other,62,10.77,4.62,3.85,21.3,66.75,0,Side,Low (<300)
Chick Fil-A,6 piece Chicken Nuggets,190,81,9,1.5,0.0,55,730,7,1.0,0,21.0,0.0,4.0,2.0,Other,63,11.05,4.74,3.68,31.74,65.44,0,Side,Low (<300)
Chick Fil-A,8 piece Chicken Nuggets,260,110,12,3.0,0.0,70,990,9,1.0,1,28.0,0.0,2.0,4.0,Other,64,10.77,4.62,3.46,43.04,62.38,0,Side,Low (<300)
Chick Fil-A,12 piece Chicken Nuggets,390,162,18,1.5,0.0,115,1460,14,2.0,1,41.0,0.0,8.0,4.0,Other,65,10.51,4.62,3.59,63.48,60.04,0,Side,Medium (300-600)
Chick Fil-A,30 piece Chicken Nuggets,970,414,46,2.5,0.0,285,3660,35,4.0,1,103.0,,20.0,10.0,Other,66,10.62,4.74,3.61,159.13,44.86,0,Side,Very High (900+)
Chick Fil-A,Chicken Salad Sandwich,490,170,19,3.0,0.0,80,1130,55,5.0,12,28.0,35.0,8.0,15.0,Other,67,5.71,3.88,11.22,49.13,56.26,0,Main,Medium (300-600)
Chick Fil-A,Chicken Sandwich,440,171,19,4.0,0.0,60,1350,40,2.0,5,28.0,2.0,4.0,15.0,Other,68,6.36,4.32,9.09,58.7,54.77,0,Main,Medium (300-600)
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,18,2,1.0,0.0,35,220,1,0.0,0,13.0,0.0,6.0,0.0,Other,69,18.57,2.86,1.43,9.57,76.89,0,Side,Low (<300)
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,27,3,1.0,0.0,50,330,2,0.0,0,19.0,0.0,8.0,0.0,Other,70,17.27,2.73,1.82,14.35,74.82,0,Side,Low (<300)
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,36,4,1.0,0.0,70,440,2,0.0,0,25.0,0.0,10.0,2.0,Other,71,17.86,2.86,1.43,19.13,74.7,0,Side,Low (<300)
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,45,5,1.0,0.0,100,670,3,0.0,1,38.0,0.0,20.0,2.0,Other,72,18.1,2.38,1.43,29.13,73.42,0,Side,Low (<300)
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,108,12,4.5,0.0,85,1310,47,5.0,9,33.0,,25.0,25.0,Other,73,7.67,2.79,10.93,56.96,56.03,0,Main,Medium (300-600)
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,117,13,6.0,0.0,75,1000,48,4.0,10,34.0,,50.0,25.0,Other,74,7.56,2.89,10.67,43.48,56.93,0,Main,Medium (300-600)
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,162,18,0.0,0.0,95,1200,46,2.0,10,33.0,45.0,40.0,20.0,Other,75,6.6,3.6,9.2,52.17,58.81,0,Main,Medium (300-600)
Chick Fil-A,Spicy Chicken Sandwich,450,171,19,4.0,0.0,60,1620,41,1.0,5,29.0,4.0,2.0,15.0,Other,76,6.44,4.22,9.11,70.43,53.06,0,Main,Medium (300-600)
Chick Fil-A,Spicy Deluxe,540,225,25,8.0,0.0,80,1760,43,2.0,6,34.0,30.0,10.0,30.0,Other,77,6.3,4.63,7.96,76.52,49.2,0,Other,Medium (300-600)
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,126,14,5.0,0.0,60,960,29,15.0,3,37.0,60.0,35.0,35.0,Other,78,10.57,4.0,8.29,41.74,60.98,0,Main,Medium (300-600)
Chick Fil-A,Chicken Enchiladas Meal Kit,860,423,47,16.0,1.0,100,2520,70,,8,39.0,,,,Other,79,4.53,5.47,8.14,109.57,36.76,0,Other,High (600-900)
Chick Fil-A,Chicken Parmesan Meal Kit,720,279,31,15.0,0.0,120,1780,65,,7,48.0,,,,Other,80,6.67,4.31,9.03,77.39,44.56,0,Other,High (600-900)
Sonic,Hatch Green Chile Cheeseburger,710,380,43,17.0,2.0,120,1120,44,2.0,7,35.0,10.0,25.0,30.0,Other,81,4.93,6.06,6.2,48.7,45.76,0,Main,High (600-900)
Sonic,Jalapeno Burger,640,330,37,14.0,2.0,100,930,42,2.0,6,31.0,4.0,2.0,20.0,Other,82,4.84,5.78,6.56,40.43,49.02,0,Main,High (600-900)
Sonic,Jr. Burger,340,150,17,6.0,1.0,35,640,34,1.0,6,15.0,2.0,4.0,6.0,Other,83,4.41,5.0,10.0,27.83,56.09,0,Main,Medium (300-600)
Sonic,Jr. Chili Cheeseburger,410,220,24,9.0,0.5,55,730,32,1.0,4,20.0,7.0,1.0,15.0,Other,84,4.88,5.85,7.8,31.74,53.88,0,Main,Medium (300-600)
Sonic,Jr. Deluxe Burger,380,200,23,6.0,1.0,40,470,32,1.0,4,15.0,2.0,4.0,6.0,Other,85,3.95,6.05,8.42,20.43,56.75,0,Main,Medium (300-600)
Sonic,Jr. Deluxe Cheeseburger,450,250,28,9.0,1.0,60,800,33,1.0,4,19.0,6.0,4.0,15.0,Other,86,4.22,6.22,7.33,34.78,52.74,0,Main,Medium (300-600)
Sonic,Jr. Double Cheeseburger,600,350,38,16.0,2.0,110,1350,35,1.0,7,31.0,15.0,4.0,25.0,Other,87,5.17,6.33,5.83,58.7,45.18,0,Main,Medium (300-600)
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,530,59,20.0,2.0,140,1350,45,2.0,7,39.0,10.0,8.0,30.0,Other,88,4.48,6.78,5.17,58.7,41.68,0,Main,High (600-900)
Sonic,Sonic Burger W/ Mustard,640,330,37,14.0,2.0,100,790,43,2.0,7,31.0,6.0,8.0,20.0,Other,89,4.84,5.78,6.72,34.35,49.95,0,Main,High (600-900)
Sonic,Sonic Burger W/ Ketchup,650,340,37,14.0,2.0,100,860,46,2.0,10,32.0,8.0,10.0,20.0,Other,90,4.92,5.69,7.08,37.39,49.57,0,Main,High (600-900)
Sonic,Sonic Burger W/ Mayonnaise,740,430,48,15.0,2.0,110,760,44,2.0,7,31.0,6.0,8.0,20.0,Other,91,4.19,6.49,5.95,33.04,48.79,0,Main,High (600-900)
Sonic,Sonic Cheeseburger W/ Mustard,710,380,43,17.0,2.0,120,1120,43,2.0,7,35.0,10.0,8.0,30.0,Other,92,4.93,6.06,6.06,48.7,45.76,0,Main,High (600-900)
Sonic,Sonic Cheeseburger W/ Ketchup,720,380,43,17.0,2.0,120,1190,47,2.0,10,35.0,15.0,10.0,30.0,Other,93,4.86,5.97,6.53,51.74,45.23,0,Main,High (600-900)
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,480,54,18.0,2.0,130,1090,44,2.0,7,35.0,10.0,8.0,30.0,Other,94,4.38,6.75,5.5,47.39,44.7,0,Main,High (600-900)
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,830,92,36.0,4.0,260,1630,44,2.0,7,67.0,15.0,6.0,40.0,Other,95,5.23,7.19,3.44,70.87,29.43,0,Main,Very High (900+)
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,680,76,32.0,4.0,235,1550,44,2.0,8,63.0,15.0,8.0,40.0,Other,96,5.62,6.79,3.93,67.39,33.15,0,Main,Very High (900+)
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,680,76,32.0,4.0,235,1620,47,2.0,11,63.0,20.0,10.0,40.0,Other,97,5.58,6.73,4.16,70.43,32.65,0,Main,Very High (900+)
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,780,87,34.0,4.0,245,1520,45,2.0,8,63.0,15.0,8.0,40.0,Other,98,5.16,7.13,3.69,66.09,31.48,0,Main,Very High (900+)
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,680,76,32.0,4.0,235,1690,43,2.0,7,63.0,15.0,2.0,40.0,Other,99,5.62,6.79,3.84,73.48,32.22,0,Main,Very High (900+)
Sonic,Veggie Burger W/ Ketchup,450,130,14,4.0,0.0,10,1410,67,5.0,11,15.0,6.0,8.0,25.0,Other,100,3.33,3.11,14.89,61.3,51.27,0,Main,Medium (300-600)
Sonic,Veggie Burger With Mustard,450,130,14,4.0,0.0,10,1350,64,5.0,8,15.0,6.0,8.0,27.0,Other,101,3.33,3.11,14.22,58.7,51.66,0,Main,Medium (300-600)
Sonic,Veggie Burger W/ Mustard,450,130,14,4.0,0.0,10,1300,64,5.0,8,15.0,6.0,8.0,25.0,Other,102,3.33,3.11,14.22,56.52,52.0,0,Main,Medium (300-600)
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,270,30,7.0,0.0,110,1570,44,3.0,8,40.0,11.0,20.0,16.0,Other,103,6.56,4.92,7.21,68.26,51.42,0,Main,High (600-900)
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,350,39,9.0,0.0,80,1120,53,4.0,7,31.0,11.0,7.0,16.0,Other,104,4.56,5.74,7.79,48.7,50.96,0,Main,High (600-900)
Sonic,Grilled Chicken Sandwich,430,180,20,4.0,0.0,80,940,33,2.0,6,28.0,6.0,8.0,10.0,Other,105,6.51,4.65,7.67,40.87,57.65,0,Main,Medium (300-600)
Sonic,Crispy Chicken Sandwich,570,300,33,5.0,0.0,45,1060,47,4.0,6,23.0,6.0,8.0,10.0,Other,106,4.04,5.79,8.25,46.09,53.62,0,Main,Medium (300-600)
Sonic,Chicken Strip Sandwich,450,220,24,4.0,0.0,35,740,43,1.0,4,19.0,0.0,0.0,4.0,Other,107,4.22,5.33,9.56,32.17,56.63,0,Main,Medium (300-600)
Sonic,3 Piece Crispy Chicken Tender Dinner,280,130,14,2.5,0.0,0,800,16,0.0,0,22.0,,,,Other,108,7.86,5.0,5.71,34.78,61.01,0,Dessert/Drink,Low (<300)
Sonic,5 Piece Crispy Chicken Tender Dinner,470,220,24,4.5,0.0,0,1340,26,0.0,0,37.0,,,,Other,109,7.87,5.11,5.53,58.26,56.04,0,Dessert/Drink,Medium (300-600)
Sonic,Deluxe Ultimate Chicken Sandwich,740,350,39,8.0,0.0,90,1550,63,4.0,12,33.0,10.0,8.0,15.0,Other,110,4.46,5.27,8.51,67.39,48.71,0,Main,High (600-900)
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,550,61,12.0,0.5,125,4520,70,5.0,12,23.0,,,,Other,111,2.3,6.1,7.0,196.52,23.99,0,Main,Very High (900+)
Sonic,Small Jumbo Popcorn Chicken,380,190,22,4.0,0.0,45,1250,27,3.0,1,18.0,0.0,0.0,2.0,Other,112,4.74,5.79,7.11,54.35,53.77,0,Other,Medium (300-600)
Sonic,Large Jumbo Popcorn Chicken,560,290,32,6.0,1.0,65,1890,41,5.0,2,27.0,0.0,0.0,4.0,Other,113,4.82,5.71,7.32,82.17,48.21,0,Other,Medium (300-600)
Sonic,Small Spicy Jumbo Popcorn Chicken,350,150,17,3.0,0.0,45,860,30,2.0,0,21.0,10.0,0.0,2.0,Other,114,6.0,4.86,8.57,37.39,58.35,0,Other,Medium (300-600)
Sonic,Large Spicy Jumbo Popcorn Chicken,610,270,30,5.0,0.0,80,1500,51,3.0,0,36.0,17.0,0.0,3.0,Other,115,5.9,4.92,8.36,65.22,52.61,0,Other,High (600-900)
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,410,46,8.0,1.0,55,2160,109,7.0,9,30.0,1.0,6.0,13.0,Other,116,3.09,4.74,11.24,93.91,43.25,0,Dessert/Drink,Very High (900+)
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,460,51,9.0,1.0,75,2390,118,8.0,9,37.0,1.0,7.0,13.0,Other,117,3.43,4.72,10.93,103.91,41.38,0,Dessert/Drink,Very High (900+)
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,510,57,10.0,1.0,90,2610,126,8.0,9,44.0,2.0,8.0,14.0,Other,118,3.7,4.79,10.59,113.48,39.49,0,Dessert/Drink,Very High (900+)
Sonic,3 Piece Super Crunch Chicken Strips,330,140,16,3.0,0.0,55,670,25,2.0,0,22.0,1.0,2.0,1.0,Other,119,6.67,4.85,7.58,29.13,60.3,0,Dessert/Drink,Medium (300-600)
